id,work_mode,remote_days,role_clarity,workload,team_belonging,manager_support,intent_to_stay
S01,hybrid,3,4,3,4,5,5
S02,onsite,0,3,5,3,2,2
S03,hybrid,2,4,4,4,4,4
S04,remote,5,3,3,2,4,3
S05,hybrid,3,5,2,4,5,5
S06,onsite,0,2,5,3,2,1
S07,remote,5,4,4,2,3,3
S08,hybrid,2,3,3,5,4,4
S09,hybrid,4,4,4,3,3,3
S10,onsite,0,5,3,5,4,5
S11,remote,5,2,5,2,2,1
S12,hybrid,3,4,2,4,4,5
S13,onsite,0,3,4,4,3,3
S14,hybrid,2,5,3,5,5,5
S15,remote,5,3,4,2,4,2
S16,hybrid,3,4,3,4,3,4
S17,onsite,0,2,5,3,2,2
S18,hybrid,4,4,3,3,4,4
